date,name,size,density
2015-01,Mucker.Capital,5,1.0
2014-12,Mucker.Capital,0,0.0
2015-05,Mucker.Capital,5,0.6
2015-07,Mucker.Capital,1,1.0
2015-03,Mucker.Capital,0,0.0
2016-05,Mucker.Capital,0,0.0
2016-01,Mucker.Capital,0,0.0
2016-04,Mucker.Capital,0,0.0
2014-11,Mucker.Capital,5,0.6
2015-06,Mucker.Capital,5,0.7333333333333333
2016-06,Mucker.Capital,2,1.0
2015-10,Mucker.Capital,0,0.0
2014-09,Mucker.Capital,0,0.0
2015-02,Mucker.Capital,3,1.0
2016-07,Mucker.Capital,0,0.0
2015-12,Mucker.Capital,2,1.0
2014-10,Mucker.Capital,4,1.0
2015-04,Mucker.Capital,4,1.0
2014-08,Mucker.Capital,3,0.6666666666666666
2016-03,Mucker.Capital,0,0.0
2015-08,Mucker.Capital,0,0.0
2016-02,Mucker.Capital,0,0.0
2015-09,US.Venture.Partners,3,1.0
2015-11,US.Venture.Partners,0,0.0
2015-01,US.Venture.Partners,5,1.0
2014-12,US.Venture.Partners,0,0.0
2015-05,US.Venture.Partners,0,0.0
2015-07,US.Venture.Partners,0,0.0
2015-03,US.Venture.Partners,3,1.0
2016-05,US.Venture.Partners,0,0.0
2016-01,US.Venture.Partners,4,0.7
2016-04,US.Venture.Partners,0,0.0
2014-11,US.Venture.Partners,4,1.0
2015-06,US.Venture.Partners,1,1.0
2016-06,US.Venture.Partners,2,1.0
2015-10,US.Venture.Partners,0,0.0
2014-09,US.Venture.Partners,0,0.0
2015-02,US.Venture.Partners,4,0.6
2016-07,US.Venture.Partners,1,1.0
2015-12,US.Venture.Partners,2,1.0
2014-10,US.Venture.Partners,1,1.0
2015-04,US.Venture.Partners,0,0.0
2014-08,US.Venture.Partners,2,1.0
2016-03,US.Venture.Partners,3,1.0
2015-08,US.Venture.Partners,2,0.6666666666666666
2016-02,US.Venture.Partners,0,0.0
2015-09,Norwest.Venture.Partners,11,0.30303030303030304
2015-11,Norwest.Venture.Partners,6,0.6190476190476191
2015-01,Norwest.Venture.Partners,3,1.0
2014-12,Norwest.Venture.Partners,9,0.4444444444444444
2015-05,Norwest.Venture.Partners,2,1.0
2015-07,Norwest.Venture.Partners,4,0.7
2015-03,Norwest.Venture.Partners,1,1.0
2016-05,Norwest.Venture.Partners,4,0.7
2016-01,Norwest.Venture.Partners,10,0.45454545454545453
2016-04,Norwest.Venture.Partners,8,0.8055555555555556
2014-11,Norwest.Venture.Partners,0,0.0
2015-06,Norwest.Venture.Partners,14,0.5714285714285714
2016-06,Norwest.Venture.Partners,5,0.4
2015-10,Norwest.Venture.Partners,6,0.7619047619047619
2014-09,Norwest.Venture.Partners,4,0.7
2015-02,Norwest.Venture.Partners,13,0.6593406593406593
2016-07,Norwest.Venture.Partners,0,0.0
2015-12,Norwest.Venture.Partners,5,1.0
2014-10,Norwest.Venture.Partners,3,0.6666666666666666
2015-04,Norwest.Venture.Partners,14,0.3904761904761905
2014-08,Norwest.Venture.Partners,10,0.6666666666666666
2016-03,Norwest.Venture.Partners,0,0.0
2015-08,Norwest.Venture.Partners,2,1.0
2016-02,Norwest.Venture.Partners,7,0.4642857142857143
2015-09,Naval.Ravikant,0,0.0
2015-11,Naval.Ravikant,0,0.0
2015-01,Naval.Ravikant,4,1.0
2014-12,Naval.Ravikant,0,0.0
2015-05,Naval.Ravikant,9,0.7222222222222222
2015-07,Naval.Ravikant,0,0.0
2015-03,Naval.Ravikant,0,0.0
2016-05,Naval.Ravikant,2,1.0
2016-01,Naval.Ravikant,0,0.0
2016-04,Naval.Ravikant,4,0.5
2014-11,Naval.Ravikant,12,0.5
2015-06,Naval.Ravikant,0,0.0
2016-06,Naval.Ravikant,0,0.0
2015-10,Naval.Ravikant,5,1.0
2014-09,Naval.Ravikant,14,0.5604395604395604
2015-02,Naval.Ravikant,3,1.0
2016-07,Naval.Ravikant,1,1.0
2015-12,Naval.Ravikant,0,0.0
2014-10,Naval.Ravikant,0,0.0
2015-04,Naval.Ravikant,12,0.6515151515151515
2014-08,Naval.Ravikant,9,0.8888888888888888
2016-03,Naval.Ravikant,6,1.0
2015-08,Naval.Ravikant,0,0.0
2016-02,Naval.Ravikant,0,0.0
2015-09,AngelPad,2,1.0
2015-11,AngelPad,0,0.0
2015-01,AngelPad,0,0.0
2014-12,AngelPad,16,0.5428571428571428
2015-05,AngelPad,1,1.0
2015-07,AngelPad,0,0.0
2015-03,AngelPad,3,1.0
2016-05,AngelPad,0,0.0
2016-01,AngelPad,0,0.0
2016-04,AngelPad,2,1.0
2014-11,AngelPad,0,0.0
2015-06,AngelPad,0,0.0
2016-06,AngelPad,0,0.0
2015-10,AngelPad,16,0.30833333333333335
2014-09,AngelPad,7,0.6071428571428571
2015-02,AngelPad,11,0.3939393939393939
2016-07,AngelPad,0,0.0
2015-12,AngelPad,0,0.0
2014-10,AngelPad,5,1.0
2015-04,AngelPad,2,1.0
2014-08,AngelPad,0,0.0
2016-03,AngelPad,0,0.0
2015-08,AngelPad,0,0.0
2016-02,AngelPad,0,0.0
2015-09,Sofinnova.Ventures,4,1.0
2015-11,Sofinnova.Ventures,1,1.0
2015-01,Sofinnova.Ventures,0,0.0
2014-12,Sofinnova.Ventures,9,0.7857142857142857
2015-05,Sofinnova.Ventures,0,0.0
